file,role,occupancy,aspect,eff_colors,regions,small_regions,contour,solidity,symmetry,edge_density,complexity
arto_discovery.png,,0.6220805921052631,1.0666666666666667,50,21,29,1.5778960710603918,0.8425830525465735,0.5757733569419852,0.2879238548483046,0.8290109180364514
colorey_discovery.png,,0.5771153846153846,0.8125,44,18,13,1.452148994940078,0.8391764829249537,0.5851049782120692,0.2757414195268244,0.7946919869637326
lookie_discovery.png,,0.574516129032258,1.032258064516129,47,20,17,1.4557903187614434,0.8372311669996474,0.6693614528412419,0.3215188096574958,0.8259688561802979
loupe_discovery.png,,0.6851973684210526,0.95,46,25,29,1.5056521943499055,0.8564086750950766,0.7273763864413807,0.3445751320211234,0.8517276285036459
lucky_discovery.png,,0.6468978102189781,0.8375,46,24,43,1.4758594458569028,0.8812927284027346,0.7523479980227386,0.3385049365303244,0.841474008907071
memry_discovery.png,,0.6937088815789474,0.95,52,24,16,1.3313281954923541,0.9226688542521192,0.7634577192432319,0.38782526228439335,0.8190267073942405
oakchap_discovery.png,,0.6213392857142858,0.85625,50,21,21,1.3223054356620483,0.875786559275107,0.6134005680171565,0.19047276907601668,0.7107954784802712
stacky_discovery.png,,0.5943943298969072,1.6494845360824741,52,37,80,1.480275042641121,0.8846799328698154,0.40048580537422196,0.5382113821138211,0.8500573005502337
taffy_discovery.png,,0.6367886178861789,1.3008130081300813,49,22,13,1.3380717321231212,0.8664269911504425,0.6409584915542752,0.2997127353973827,0.7869067677905721
tixy_discovery.png,,0.6674189814814815,1.4814814814814814,51,27,48,1.4263422658732914,0.8580143585165346,0.7986587648159701,0.44220931240787303,0.8388213053902691
