dex,contour,solidity,symmetry,aspect,occupancy,eff_colors,edge_density,area
1,1.1584144547223916,0.9054794691569183,0.7647574091196652,1.0691244239631337,0.5533447265625,22,0.2012464151775866,36264
2,1.6998642750091462,0.8287174733155652,0.6701437542166173,1.0691244239631337,0.491058349609375,19,0.24812006711826487,32182
3,1.8415992281796985,0.8417351656819934,0.8964768863488389,1.2747252747252746,0.4000091552734375,20,0.3303833683005913,26215
4,2.0573914284713366,0.6383096410199679,0.27718443915665986,0.8879310344827587,0.3521728515625,20,0.22530329289428075,23080
5,2.547897934786077,0.625851420224505,0.37206307215705386,0.8577586206896551,0.3007354736328125,20,0.23532396367141914,19709
6,3.020444674207753,0.6280042277468866,0.5566102209734983,1.2677595628415301,0.3127899169921875,20,0.2860627347675496,20499
7,1.4731611989208588,0.7738507545726406,0.4896248895552759,0.9698275862068966,0.424468994140625,20,0.21399813070673665,27818
8,1.5427667219012848,0.7196793317811967,0.5762800967301019,0.9913793103448276,0.45751953125,20,0.24543089647812166,29984
9,1.4271814144323371,0.8152142416186865,0.5621167495533774,0.9267241379310345,0.4936676025390625,21,0.21104688900565635,32353
10,1.417333577016368,0.8104893288306149,0.4398134654619644,1.0,0.4522705078125,22,0.2347165991902834,29640
11,1.1713497495707366,0.8362880406536929,0.2666472303206997,0.8793103448275862,0.3314666748046875,21,0.18073010173548773,21723
12,1.6900623767314222,0.8060641184373436,0.7320842295935696,1.0943396226415094,0.4669036865234375,22,0.2374260596751528,30599
13,1.5647929826564502,0.6621392190152802,0.1614576661970027,0.7887931034482759,0.2767181396484375,19,0.22100909842845326,18135
14,1.031773918027209,0.9639486378783995,0.8877327491785323,0.5431034482758621,0.315582275390625,21,0.2215936563195049,20682
15,2.516308868581705,0.5574678820067466,0.3586621886369997,0.8275862068965517,0.296295166015625,19,0.39643629622000204,19418
16,1.8914492551747426,0.7171990396012522,0.3635733271697677,0.9353448275862069,0.360076904296875,21,0.26095431816255615,23598
17,2.4503020792892185,0.5674497835190574,0.5056120527306968,0.8706896551724138,0.3049774169921875,22,0.3979586731375394,19987
18,2.0879881746332343,0.5586723335357215,0.22709895385709628,0.9612068965517241,0.3159027099609375,21,0.3421726319857026,20703
19,2.1487567753836823,0.6197896833533495,0.5185158604851442,1.1317073170731706,0.3228607177734375,21,0.25677016872252945,21159
20,2.139653040202701,0.6703236283197156,0.49220084253671864,1.0175438596491229,0.39996337890625,21,0.2675873645658477,26212
21,2.3713657524416645,0.5836617344536149,0.5090192560315273,0.978448275862069,0.3593292236328125,21,0.2507537475052019,23549
22,3.446199639401741,0.5397574877067501,0.24840064620355412,1.0740740740740742,0.2947845458984375,21,0.3493452042031161,19319
23,1.5806688777885487,0.7376041643883554,0.4760800105046614,1.008695652173913,0.51458740234375,22,0.21100699798363184,33724
24,1.3970650225735088,0.8073188238958787,0.5167167065289299,0.896551724137931,0.4547882080078125,21,0.24505955376614663,29805
25,2.0273527766834163,0.6349771576056202,0.4190623072177668,1.0642201834862386,0.3509979248046875,19,0.1680215624049037,23003
26,2.9522197286050624,0.4674475277100857,0.18012225132968168,1.1262135922330097,0.226837158203125,21,0.26664872864254,14866
27,1.3519157524492686,0.7581972083933075,0.4381324516581505,0.9137931034482759,0.43804931640625,19,0.2878291765361572,28708
28,2.1670511071289824,0.6763075572142034,0.5801756748092582,1.045045045045045,0.376068115234375,23,0.25168384321999515,24646
29,1.4761190948691985,0.821871505540307,0.8327571550014168,1.0403587443946187,0.4934539794921875,22,0.1990785120133585,32339
30,1.811305146585956,0.7263689086389997,0.4399187768752986,0.8879310344827587,0.367889404296875,21,0.24657818332642056,24110
31,1.7024086202534932,0.7557702630166399,0.5978042858650903,0.9698275862068966,0.4619140625,22,0.257399577167019,30272
32,1.607463930639709,0.7956776048379102,0.7722818736371415,0.9094827586206896,0.4898681640625,20,0.17486917518066283,32104
33,2.0003748966465578,0.6717230847543905,0.541633809398639,0.9008620689655172,0.4027099609375,21,0.22681115489542286,26392
34,1.9162231254412838,0.7103144993570306,0.5882854100106496,1.2960893854748603,0.3413543701171875,22,0.30333914442805415,22371
35,1.1703896117423689,0.9074369466213561,0.80490160014714,1.0,0.5989532470703125,21,0.1325758540748478,39253
36,1.6390854806864448,0.8171247227770085,0.7461248428990365,1.008695652173913,0.5087890625,21,0.1539707293666027,33344
37,1.68982799171928,0.8270904491732526,0.5791857672997163,1.1262135922330097,0.4415435791015625,19,0.20295815046480284,28937
38,1.7860670980242892,0.7892548844111031,0.6301323214633198,1.0357142857142858,0.5113067626953125,21,0.21564355844698438,33509
39,1.145556690444159,0.8594100742054017,0.6642117503737749,1.0545454545454545,0.458587646484375,21,0.17907766021161908,30054
40,1.4534984824991195,0.7216944986626184,0.6755958375293722,0.8275862068965517,0.380828857421875,22,0.20013622886449234,24958
41,2.662523772091407,0.44889431556098225,0.22875816993464052,1.0545454545454545,0.25244140625,20,0.300531914893617,16544
42,2.2064646986646728,0.5327347327109473,0.4542650758866975,1.16,0.273406982421875,22,0.26877999776760797,17918
43,1.6809886537207444,0.7500529741183594,0.4269753513015434,0.9094827586206896,0.378082275390625,20,0.17075631608685124,24778
44,2.1269743361877373,0.7270230360307147,0.7034807279773027,1.2210526315789474,0.3756256103515625,19,0.21013933460616646,24617
45,1.4361034162595523,0.8084764765318975,0.5357311878845243,1.0943396226415094,0.4456329345703125,20,0.16682074987159734,29205
46,1.8872875715752337,0.6873131974587344,0.5276405394578716,1.2146596858638743,0.3491363525390625,21,0.2502075958218609,22881
47,1.8043427463952297,0.7650672052371335,0.56143043947922,1.0593607305936072,0.4190673828125,21,0.15285464608214389,27464
48,2.363176952673783,0.7061297981166048,0.44492989892403,0.8577586206896551,0.338104248046875,21,0.23436230706742486,22158
49,1.739818878831578,0.6906692484569769,0.6142749387139355,1.5263157894736843,0.2612457275390625,20,0.40102797733777235,17121
50,1.1387291359484075,0.9120865404618265,0.9344079063474322,1.0790697674418606,0.5017547607421875,17,0.14654988900039534,32883
51,1.1687666378581407,0.904977251922998,0.7795389823222825,1.031111111111111,0.5053558349609375,19,0.16114616987227875,33119
52,3.110970278404143,0.5227397950348692,0.4327752847773559,0.7629310344827587,0.2533416748046875,21,0.3435523700536048,16603
53,2.683961421690711,0.5126536205198475,0.2534375654358903,1.1100478468899522,0.274017333984375,22,0.26083082748635705,17958
54,1.3754263970149734,0.8714162867295118,0.7740635528836626,0.7758620689655172,0.409759521484375,19,0.1488791241528264,26854
55,2.411465259164643,0.5093517197654145,0.41480774875256826,1.008695652173913,0.2942047119140625,20,0.2700586069187283,19281
56,2.9057328503346156,0.5243505032137263,0.37715150368829203,1.4146341463414633,0.222198486328125,21,0.29055074852355445,14562
57,2.259638358308617,0.7748808522567985,0.5226883934007944,0.9612068965517241,0.400665283203125,21,0.2371086906847437,26258
58,1.573991943094389,0.8448408923667822,0.5208064099250452,0.7025862068965517,0.359130859375,21,0.25968728755948334,23536
59,2.2824515821807037,0.7823900354388159,0.653723287067636,1.0593607305936072,0.4581451416015625,20,0.29658617818484595,30025
60,1.4059559853107686,0.8030031129829701,0.19997810858143608,1.2677595628415301,0.334564208984375,23,0.27939432637051903,21926
61,1.6110030854535242,0.7520753732602925,0.5670801892825169,1.1372549019607843,0.373931884765625,23,0.2795641883620338,24506
62,1.6641450521844947,0.6608053195419283,0.7137382640352558,1.4683544303797469,0.27294921875,21,0.3196556350626118,17888
63,2.1378526729046627,0.6136514017064252,0.47715650934696957,1.4146341463414633,0.2688751220703125,21,0.2524260825151807,17621
64,2.6155544560913553,0.5853071617443374,0.4433672589270312,0.8577586206896551,0.319183349609375,21,0.34281480065015774,20918
65,3.044552146370695,0.5409543317839229,0.494413813116657,1.1262135922330097,0.3143157958984375,21,0.3310840332054954,20599
66,1.7231856667216507,0.6862284549756485,0.5305855161787365,0.8318965517241379,0.3031463623046875,22,0.26018019831882017,19867
67,1.786017007734573,0.665215392520079,0.7070784177654407,0.8448275862068966,0.3753509521484375,20,0.2963128582462702,24599
68,2.3399154038017826,0.5574704307809966,0.393106629761434,0.8793103448275862,0.3225555419921875,22,0.33005345569799893,21139
69,3.0832257157868814,0.4852814495767117,0.4835633853977479,0.8620689655172413,0.2492828369140625,20,0.23633470037338555,16337
70,1.3623971452611938,0.8368641260104882,0.5937409864436112,1.288888888888889,0.337249755859375,20,0.1742376255542485,22102
71,1.9488482770464317,0.7681665155032206,0.6010893944248639,1.1717171717171717,0.3812408447265625,20,0.19855913548128878,24985
72,1.7914036997413314,0.6693316397056076,0.5659470326020453,1.2210526315789474,0.27337646484375,22,0.24826970305871846,17916
73,3.6179080100239647,0.6963321873274311,0.5384918136020151,1.288888888888889,0.2982330322265625,21,0.3775901765157329,19545
74,1.79395032322936,0.6635275905440707,0.5024098145173068,2.6363636363636362,0.1569671630859375,22,0.32020997375328086,10287
